0x12787F68, 37377930296023760, 168906431, 168906492, 61, 640x360 
0x12787F68, 37377930298687792, 168906699, 168906706, 7, 640x360 
0x12787F68, 37377930300017032, 168906831, 168906834, 3, 640x360 
0x12787F68, 37377930301345192, 168906967, 168906969, 2, 640x360 
0x12787F68, 37377930302676648, 168907105, 168907114, 9, 640x360 
0x12787F68, 37377930304013328, 168907218, 168907220, 2, 640x360 
0x12787F68, 37377930305339808, 168907351, 168907353, 2, 640x360 
0x12787F68, 37377930306671536, 168907477, 168907479, 2, 640x360 
0x12787F68, 37377930308001584, 168907621, 168907624, 3, 640x360 
0x12787F68, 37377930309322776, 168907746, 168907748, 2, 640x360 
0x12787F68, 37377930315999976, 168908429, 168908462, 33, 1920x1080 
0x12787F68, 37377930321336016, 168908966, 168908975, 9, 1920x1080 
0x12787F68, 37377930326673352, 168909485, 168909495, 10, 1920x1080 
0x12787F68, 37377930332015600, 168910027, 168910037, 10, 1920x1080 
0x12787F68, 37377930337357032, 168910557, 168910567, 10, 1920x1080 
0x12787F68, 37377930342690936, 168911094, 168911104, 10, 1920x1080 
0x12787F68, 37377930348029840, 168911629, 168911636, 7, 1920x1080 
0x12787F68, 37377930353369016, 168912162, 168912171, 9, 1920x1080 
0x12787F68, 37377930358703080, 168912701, 168912711, 10, 1920x1080 
0x12787F68, 37377930364042872, 168913220, 168913230, 10, 1920x1080 
0x12787F68, 37377930369386576, 168913767, 168913777, 10, 1920x1080 
0x12787F68, 37377930374725376, 168914275, 168914292, 17, 1920x1080 
0x12787F68, 37377930380066952, 168914814, 168914824, 10, 1920x1080 
0x12787F68, 37377930385410080, 168915344, 168915355, 11, 1920x1080 
0x12787F68, 37377930390757608, 168915893, 168915904, 11, 1920x1080 
0x12787F68, 37377930396092728, 168916420, 168916431, 11, 1920x1080 
0x12787F68, 37377930401432968, 168916949, 168916960, 11, 1920x1080 
0x12787F68, 37377930406771896, 168917479, 168917491, 12, 1920x1080 
0x12787F68, 37377930412111672, 168918039, 168918048, 9, 1920x1080 
0x12787F68, 37377930417457736, 168918545, 168918554, 9, 1920x1080 
0x12787F68, 37377930422792168, 168919088, 168919101, 13, 1920x1080 
0x12787F68, 37377930428125944, 168919621, 168919635, 14, 1920x1080 
0x12787F68, 37377930433468456, 168920182, 168920192, 10, 1920x1080 
0x12787F68, 37377930438804400, 168920680, 168920694, 14, 1920x1080 
0x12787F68, 37377930444138808, 168921220, 168921230, 10, 1920x1080 
0x12787F68, 37377930449485824, 168921772, 168921786, 14, 1920x1080 
0x12787F68, 37377930454833688, 168922290, 168922300, 10, 1920x1080 
0x12787F68, 37377930460173656, 168922836, 168922845, 9, 1920x1080 
0x12787F68, 37377930465514952, 168923358, 168923368, 10, 1920x1080 
0x12787F68, 37377930470853976, 168923894, 168923903, 9, 1920x1080 
0x12787F68, 37377930476195768, 168924418, 168924434, 16, 1920x1080 
0x12787F68, 37377930481526512, 168924954, 168924966, 12, 1920x1080 
0x12787F68, 37377930486860880, 168925497, 168925508, 11, 1920x1080 
0x12787F68, 37377930492204760, 168926036, 168926047, 11, 1920x1080 
0x12787F68, 37377930497551016, 168926583, 168926594, 11, 1920x1080 
0x12787F68, 37377930502893576, 168927108, 168927118, 10, 1920x1080 
0x12787F68, 37377930508233912, 168927621, 168927633, 12, 1920x1080 
0x12787F68, 37377930513573304, 168928166, 168928195, 29, 1920x1080 
0x12787F68, 37377930518915712, 168928700, 168928713, 13, 1920x1080 
0x12787F68, 37377930524252856, 168929238, 168929248, 10, 1920x1080 
0x12787F68, 37377930529594200, 168929783, 168929793, 10, 1920x1080 
0x12787F68, 37377930534934304, 168930292, 168930301, 9, 1920x1080 
0x12787F68, 37377930540272744, 168930849, 168930859, 10, 1920x1080 
0x12787F68, 37377930545612496, 168931366, 168931405, 39, 1920x1080 
0x12787F68, 37377930550950984, 168931914, 168931932, 18, 1920x1080 
0x12787F68, 37377930556295400, 168932427, 168932436, 9, 1920x1080 
0x12787F68, 37377930561630432, 168932959, 168932970, 11, 1920x1080 
0x12787F68, 37377930566969008, 168933527, 168933539, 12, 1920x1080 
0x12787F68, 37377930572304000, 168934060, 168934073, 13, 1920x1080 
0x12787F68, 37377930577640280, 168934579, 168934592, 13, 1920x1080 
0x12787F68, 37377930582981944, 168935118, 168935128, 10, 1920x1080 
0x12787F68, 37377930588318080, 168935664, 168935673, 9, 1920x1080 
0x12787F68, 37377930593662936, 168936200, 168936210, 10, 1920x1080 
0x12787F68, 37377930598999280, 168936713, 168936723, 10, 1920x1080 
0x12787F68, 37377930604344616, 168937246, 168937260, 14, 1920x1080 
0x12787F68, 37377930609686112, 168937770, 168937784, 14, 1920x1080 
0x12787F68, 37377930615030704, 168938296, 168938306, 10, 1920x1080 
0x12787F68, 37377930620379144, 168938874, 168938883, 9, 1920x1080 
0x12787F68, 37377930625718880, 168939390, 168939400, 10, 1920x1080 
0x12787F68, 37377930631054056, 168939903, 168939915, 12, 1920x1080 
0x12787F68, 37377930636390640, 168940439, 168940450, 11, 1920x1080 
0x12787F68, 37377930641736272, 168940973, 168940982, 9, 1920x1080 
0x12787F68, 37377930647076752, 168941538, 168941549, 11, 1920x1080 
0x12787F68, 37377930652419392, 168942038, 168942048, 10, 1920x1080 
0x12787F68, 37377930657752872, 168942583, 168942594, 11, 1920x1080 
0x12787F68, 37377930663097160, 168943104, 168943114, 10, 1920x1080 
0x12787F68, 37377930668438784, 168943678, 168943689, 11, 1920x1080 
0x12787F68, 37377930673776208, 168944192, 168944201, 9, 1920x1080 
